date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-01-02,5385.1,5404.93,5283.45,5569.15,5315.95,0.0341776382982673
2008-01-03,5422.03,5422.67,5315.95,5630.62,5422.46,0.038470831035608465
2008-01-04,5483.65,5499.09,5422.46,5630.62,5455.5,0.026801491707165895
2008-01-07,5556.59,5569.15,5455.5,5707.67,5485.23,0.027189337345386276
2008-01-08,5528.05,5630.62,5485.23,5707.67,5490.31,0.032492470220059494
2008-01-09,5613.76,5614.68,5490.31,5756.92,5602.59,0.025501624579604375
2008-01-10,5672.15,5707.67,5602.59,5756.92,5629.64,0.014944950327477313
2008-01-11,5699.15,5702.57,5629.64,5756.92,5498.39,-0.03522630567716226
2008-01-14,5731.76,5756.92,5679.29,5754.11,5226.64,-0.08812650913506495
2008-01-15,5696.45,5754.11,5652.04,5642.57,5226.64,-0.08247417251094971
2008-01-16,5505.72,5642.57,5498.39,5533.65,5122.46,-0.06961124067333613
2008-01-17,5365.62,5533.65,5226.64,5434.35,4708.39,-0.12248910657109516
2008-01-18,5414.47,5419.57,5307.5,5434.35,4708.39,-0.1304061154646715
2008-01-21,5145.73,5434.35,5122.46,5079.8,4708.39,-0.08499085649655137
2008-01-22,4753.87,5032.24,4708.39,5121.41,4751.5,0.07731385166190913
2008-01-23,4975.11,4976.27,4751.5,5121.41,4711.28,-0.0530299832566516
2008-01-24,5027.21,5079.8,4926.37,5121.41,4688.73,-0.06732959235838576
2008-01-25,5077.43,5121.41,4966.52,5038.51,4606.14,-0.09282058049052373
2008-01-28,4731.88,5038.51,4711.28,4858.1,4606.14,0.026674387347100995
2008-01-29,4762.08,4845.66,4688.73,4858.1,4414.12,-0.07306891106407284
2008-01-30,4710.65,4858.1,4606.14,4951.25,4414.12,-0.062948849946398
2008-01-31,4620.4,4733.7,4614.28,4995.57,4414.12,0.08119859752402392
2008-02-01,4571.94,4660.99,4414.12,4995.57,4695.55,0.09265869630835054
2008-02-04,4950.12,4951.25,4695.55,4995.57,4785.8,-0.03319515486493251
2008-02-05,4921.83,4995.57,4878.12,4913.32,4742.1,-0.03651690529741977
2008-02-13,4816.08,4883.24,4785.8,4944.88,4742.1,0.026743741798309035
2008-02-14,4880.25,4913.32,4842.85,5020.75,4742.1,0.0287895087341837
2008-02-15,4813.31,4846.02,4742.1,5062.26,4845.31,0.05172116485329218
2008-02-18,4910.99,4944.88,4845.31,5062.26,4796.1,0.03080234331570629
2008-02-19,5020.75,5020.75,4885.69,5062.26,4649.81,-0.07388139222227746
2008-02-20,4908.72,5062.26,4901.66,4924.45,4510.69,-0.08108631170651424
2008-02-21,4876.03,4924.45,4796.1,4850.88,4394.59,-0.0987360619192252
2008-02-22,4702.24,4850.88,4649.81,4722.64,4394.59,-0.06542626492905501
2008-02-25,4519.78,4722.64,4510.69,4670.17,4394.59,0.03327374341229005
2008-02-26,4515.53,4668.83,4394.59,4683.16,4500.89,0.037122995528764094
2008-02-27,4639.77,4660.41,4500.89,4803.9,4582.82,0.035374598309829836
2008-02-28,4622.06,4670.17,4582.82,4836.66,4597.63,0.0464295141127548
2008-02-29,4674.55,4683.16,4597.63,4836.66,4519.74,0.03467927394080707
2008-03-03,4790.74,4803.9,4611.7,4836.66,4519.74,-0.05656746139427312
2008-03-04,4671.15,4836.66,4657.38,4746.58,4519.74,-0.03241385954208276
2008-03-05,4628.72,4689.97,4519.74,4746.58,4406.23,-0.048067284260011556
2008-03-06,4685.03,4746.58,4592.62,4693.21,4315.18,-0.07894293099510558
2008-03-07,4621.69,4693.21,4597.01,4588.77,4308.35,-0.06779771036136116
2008-03-10,4431.59,4588.77,4406.23,4553.34,4121.27,-0.07002452844238742
2008-03-11,4441.18,4441.18,4315.18,4553.34,4092.79,-0.07844536812288633
2008-03-12,4309.65,4553.34,4308.35,4296.36,3958.29,-0.08152866242038209
2008-03-13,4198.96,4296.36,4121.27,4212.41,3700.35,-0.1187460704555414
2008-03-14,4157.87,4212.41,4092.79,4138.88,3700.35,-0.11003711034736535
2008-03-17,3965.28,4138.88,3958.29,4044.69,3658.04,-0.07748254852116376
2008-03-18,3763.95,3996.96,3700.35,4083.16,3658.04,0.08480718394240094
2008-03-19,3888.86,3954.47,3776.3,4103.57,3658.04,-0.05935415520229583
2008-03-20,4001.83,4044.69,3658.04,4103.57,3747.02,-0.06367336943348417
2008-03-21,4037.83,4083.16,3958.97,4103.57,3747.02,-0.07202135800665208
2008-03-24,3857.09,4103.57,3857.09,4001.55,3745.88,0.0374531058388578
2008-03-25,3905.77,3937.67,3747.02,4001.55,3661.38,-0.06257152878945761
2008-03-26,3914.37,4001.55,3888.02,3925.86,3661.38,-0.06463109006046945
2008-03-27,3748.92,3873.61,3745.88,3925.86,3566.21,-0.048736702837083756
2008-03-28,3918.16,3925.86,3661.38,3891.66,3493.18,-0.10846417706270291
2008-03-31,3790.53,3891.66,3780.12,3815.16,3457.62,-0.0878267682883397
2008-04-01,3582.86,3815.16,3566.21,3854.07,3457.62,0.07569651060884322
2008-04-02,3547.98,3698.53,3493.18,3935.33,3457.62,0.109174798054104
2008-04-03,3650.7,3665.65,3457.62,3935.33,3578.38,0.07796586955926264
2008-04-07,3845.82,3854.07,3578.38,3935.33,3608.32,-0.061755360365279705
2008-04-08,3891.06,3935.33,3820.1,3911.7,3608.32,-0.07266400415310989
2008-04-09,3688.13,3911.7,3687.6,3825.3,3525.18,-0.044182282077909474
2008-04-10,3754.72,3754.72,3608.32,3825.3,3417.25,-0.08987887245919797
2008-04-11,3783.73,3825.3,3755.01,3710.79,3417.25,-0.0968568053217328
2008-04-14,3536.33,3710.79,3525.18,3583.86,3340.88,-0.0552691632285448
2008-04-15,3583.3,3583.86,3417.25,3583.81,3248.53,-0.09342505511679178
2008-04-16,3494.02,3583.81,3483.18,3559.1,3223.89,-0.07731209323358199
2008-04-17,3386.63,3559.1,3340.88,3516.43,3122.39,-0.0780244668003296
